Visit #,Ship,Ship Type,Move Type,Move Status,Move Start,From Location,To Location,Agency,Last Port,Next Port
20231032,COSCO GENOA,CONTAINER SHIP,Departure,Confirmed,9/5/23 18:00,Container Terminal 4,SEA,Gulf Agency Company (Australia) Pty/Ltd,Adelaide,Singapore
20231153,YU PENG,GENERAL CARGO,Removal,Scheduled,9/5/23 19:30,Gage Roads N1,No. 12 NQ,Asiaworld Shipping Services,Bunbury,Singapore
20231168,ISLAND EXPRESS,TANKER,Arrival,Confirmed,9/5/23 23:00,SEA,Outside Port Limits,Inchcape Shipping Services,Yangpu,Singapore
20231158,PALAWAN,CONTAINER SHIP,Departure,Confirmed,9/6/23 3:00,Container Terminal 1,SEA,Inchcape Shipping Services,Singapore,Port Klang
20220843,CAPE PILLAR,PATROL VESSEL,Removal,Scheduled,9/6/23 7:00,AUSTAL Fit out pier southern side,Gage Roads,International Maritime Services,Fremantle,Fremantle
20231147,MSC LIDIA,CONTAINER SHIP,Removal,Confirmed,9/6/23 8:45,Outer Anchorage O4,Container Terminal 4,Gulf Agency Company (Australia) Pty/Ltd,Jakarta,Adelaide
20231149,APL MEXICO CITY,CONTAINER SHIP,Arrival,Scheduled,9/6/23 11:45,SEA,Container Terminal 1,Inchcape Shipping Services,Adelaide,Singapore
20231173,TAHO AFRICA,BULK CARRIER - DRY,Arrival,Scheduled,9/6/23 13:00,SEA,Oil Refinery North Anchorage,Quay Marine Agencies P/L,Melbourne,Indonesia - other
20220839,HMPNGS GILBERT TOROPO,PATROL VESSEL,Removal,Confirmed,9/6/23 15:00,AUSTAL Fit out pier northern side,Outside Port Limits,International Maritime Services,Fremantle,Port Moresby
20231167,MITERA,TANKER,Arrival,Confirmed,9/6/23 15:15,SEA,No. 1 O.R.J.,Inchcape Shipping Services,Singapore,Singapore
20231125,FRONT FUTURE,TANKER,Departure,Scheduled,9/6/23 18:30,No. 3 O.R.J.,SEA,Inchcape Shipping Services,Malacca,Singapore
20220843,CAPE PILLAR,PATROL VESSEL,Removal,Scheduled,9/6/23 20:00,Gage Roads,AUSTAL Fit out pier northern side,International Maritime Services,Fremantle,Fremantle
20220839,HMPNGS GILBERT TOROPO,PATROL VESSEL,Removal,Confirmed,9/6/23 21:00,Outside Port Limits,AUSTAL Fit out pier northern side,International Maritime Services,Fremantle,Port Moresby
20231173,TAHO AFRICA,BULK CARRIER - DRY,Departure,Scheduled,9/6/23 21:30,Oil Refinery North Anchorage,SEA,Quay Marine Agencies P/L,Melbourne,Indonesia - other
20231157,COSCO ROTTERDAM,CONTAINER SHIP,Arrival,Scheduled,9/6/23 23:15,SEA,Container Terminal 3,Gulf Agency Company (Australia) Pty/Ltd,Port Klang,Sydney
20231097,SYDNEY EXPRESS,CONTAINER SHIP,Departure,Scheduled,9/6/23 23:30,Container Terminal 3,SEA,Gulf Agency Company (Australia) Pty/Ltd,Adelaide,Port Klang
20231139,ASTRAL ACE,VEHICLES CARRIER,Departure,Scheduled,9/7/23 1:30,H Berth,SEA,Gulf Agency Company (Australia) Pty/Ltd,Singapore,Adelaide
20231172,SEEKER TIDE,OTHER  VESSELS,Removal,Scheduled,9/7/23 2:00,Gage Roads N2,Aus Marine Complex 4 West,Monson Offshore Agency,Darwin,Darwin
